Inf,-78.94,-90.67,-105.86,-73.59,-85.45,-99.68,-107.72,-90.06,-97.33,-107.11,-118.85;
-72.92,Inf,-72.92,-90.67,-82.44,-76.60,-85.45,-93.66,-94.32,-93.07,-97.33,-107.11;
-90.67,-78.94,Inf,-72.92,-96.67,-85.45,-76.60,-79.43,-104.10,-97.33,-93.07,-97.33;
-105.86,-96.69,-72.92,Inf,-110.73,-99.68,-85.45,-70.58,-115.84,-107.11,-97.33,-93.07;
-70.58,-85.45,-93.66,-107.72,Inf,-78.94,-96.69,-105.86,-73.59,-85.45,-99.68,-113.74;
-79.43,-76.60,-79.43,-93.66,-75.93,Inf,-78.94,-90.67,-82.44,-76.60,-85.45,-99.68;
-93.66,-85.45,-70.58,-79.43,-93.68,-78.94,Inf,-72.92,-96.67,-85.45,-76.60,-85.45;
-107.72,-99.68,-79.43,-70.58,-108.87,-96.69,-78.94,Inf,-110.73,-99.68,-85.45,-76.60;
-87.05,-97.33,-101.09,-112.83,-73.59,-85.45,-99.68,-107.72,Inf,-78.94,-96.69,-111.88;
-91.31,-93.07,-91.31,-101.09,-82.44,-76.60,-85.45,-93.66,-75.93,Inf,-78.94,-96.69;
-101.09,-97.33,-87.05,-91.31,-96.67,-85.45,-76.60,-79.43,-93.68,-78.94,Inf,-78.94;
-112.83,-107.11,-91.31,-87.05,-110.73,-99.68,-85.45,-70.58,-108.87,-96.69,-78.94,Inf
