Inf,-75.93,-93.68,-111.88,-70.58,-79.43,-93.66,-110.73,-87.05,-91.31,-101.09,-115.84;
-75.93,Inf,-75.93,-96.69,-79.43,-70.58,-79.43,-96.67,-91.31,-87.05,-91.31,-104.10;
-93.68,-75.93,Inf,-78.94,-93.66,-79.43,-70.58,-82.44,-101.09,-91.31,-87.05,-94.32;
-108.87,-93.68,-75.93,Inf,-107.72,-93.66,-79.43,-73.59,-112.83,-101.09,-91.31,-90.06;
-73.59,-82.44,-96.67,-113.74,Inf,-72.92,-90.67,-108.87,-70.58,-79.43,-93.66,-110.73;
-82.44,-73.59,-82.44,-99.68,-72.92,Inf,-72.92,-93.68,-79.43,-70.58,-79.43,-96.67;
-96.67,-82.44,-73.59,-85.45,-90.67,-72.92,Inf,-75.93,-93.66,-79.43,-70.58,-82.44;
-110.73,-96.67,-82.44,-76.60,-105.86,-90.67,-72.92,Inf,-107.72,-93.66,-79.43,-73.59;
-90.06,-94.32,-104.10,-118.85,-70.58,-79.43,-93.66,-110.73,Inf,-72.92,-90.67,-108.87;
-94.32,-90.06,-94.32,-107.11,-79.43,-70.58,-79.43,-96.67,-72.92,Inf,-72.92,-93.68;
-104.10,-94.32,-90.06,-97.33,-93.66,-79.43,-70.58,-82.44,-90.67,-72.92,Inf,-75.93;
-115.84,-104.10,-94.32,-93.07,-107.72,-93.66,-79.43,-73.59,-105.86,-90.67,-72.92,Inf
