Inf,-72.92,-90.67,-108.87,-73.59,-79.43,-93.66,-110.73,-90.06,-94.32,-101.09,-115.84;
-72.92,Inf,-72.92,-93.68,-82.44,-70.58,-79.43,-96.67,-94.32,-90.06,-91.31,-104.10;
-90.67,-72.92,Inf,-75.93,-96.67,-79.43,-70.58,-82.44,-104.10,-94.32,-87.05,-94.32;
-105.86,-90.67,-72.92,Inf,-110.73,-93.66,-79.43,-73.59,-115.84,-104.10,-91.31,-90.06;
-70.58,-79.43,-93.66,-110.73,Inf,-72.92,-90.67,-108.87,-73.59,-82.44,-93.66,-110.73;
-79.43,-70.58,-79.43,-96.67,-75.93,Inf,-72.92,-93.68,-82.44,-73.59,-79.43,-96.67;
-93.66,-79.43,-70.58,-82.44,-93.68,-72.92,Inf,-75.93,-96.67,-82.44,-70.58,-82.44;
-107.72,-93.66,-79.43,-73.59,-108.87,-90.67,-72.92,Inf,-110.73,-96.67,-79.43,-73.59;
-87.05,-91.31,-101.09,-115.84,-73.59,-79.43,-93.66,-110.73,Inf,-75.93,-90.67,-108.87;
-91.31,-87.05,-91.31,-104.10,-82.44,-70.58,-79.43,-96.67,-75.93,Inf,-72.92,-93.68;
-101.09,-91.31,-87.05,-94.32,-96.67,-79.43,-70.58,-82.44,-93.68,-75.93,Inf,-75.93;
-112.83,-101.09,-91.31,-90.06,-110.73,-93.66,-79.43,-73.59,-108.87,-93.68,-72.92,Inf
