Inf,-75.93,-93.68,-105.86,-70.58,-79.43,-93.66,-107.72,-90.06,-91.31,-101.09,-112.83;
-72.92,Inf,-75.93,-90.67,-79.43,-70.58,-79.43,-93.66,-94.32,-87.05,-91.31,-101.09;
-90.67,-75.93,Inf,-72.92,-93.66,-79.43,-70.58,-79.43,-104.10,-91.31,-87.05,-91.31;
-105.86,-93.68,-75.93,Inf,-107.72,-93.66,-79.43,-70.58,-115.84,-101.09,-91.31,-87.05;
-70.58,-82.44,-96.67,-107.72,Inf,-72.92,-90.67,-105.86,-73.59,-79.43,-93.66,-107.72;
-79.43,-73.59,-82.44,-93.66,-72.92,Inf,-72.92,-90.67,-82.44,-70.58,-79.43,-93.66;
-93.66,-82.44,-73.59,-79.43,-90.67,-72.92,Inf,-72.92,-96.67,-79.43,-70.58,-79.43;
-107.72,-96.67,-82.44,-70.58,-105.86,-90.67,-72.92,Inf,-110.73,-93.66,-79.43,-70.58;
-87.05,-94.32,-104.10,-112.83,-70.58,-79.43,-93.66,-107.72,Inf,-72.92,-90.67,-105.86;
-91.31,-90.06,-94.32,-101.09,-79.43,-70.58,-79.43,-93.66,-75.93,Inf,-72.92,-90.67;
-101.09,-94.32,-90.06,-91.31,-93.66,-79.43,-70.58,-79.43,-93.68,-72.92,Inf,-72.92;
-112.83,-104.10,-94.32,-87.05,-107.72,-93.66,-79.43,-70.58,-108.87,-90.67,-72.92,Inf
