Inf,-76.22,-101.93,-113.01,-78.16,-87.26,-102.73,-118.44,-97.19,-104.62,-109.06,-121.99;
-76.22,Inf,-82.24,-95.90,-87.26,-78.16,-87.26,-102.73,-101.61,-100.20,-98.60,-109.06;
-95.90,-76.22,Inf,-76.22,-102.73,-87.26,-78.16,-87.26,-112.07,-104.62,-94.18,-98.60;
-113.01,-95.90,-82.24,Inf,-118.44,-102.73,-87.26,-78.16,-125.00,-115.08,-98.60,-94.18;
-75.14,-84.25,-105.74,-115.43,Inf,-79.23,-98.91,-116.02,-78.16,-90.27,-99.72,-115.43;
-84.25,-75.14,-90.27,-99.72,-79.23,Inf,-79.23,-98.91,-87.26,-81.17,-84.25,-99.72;
-99.72,-84.25,-81.17,-84.25,-98.91,-79.23,Inf,-79.23,-102.73,-90.27,-75.14,-84.25;
-115.43,-99.72,-90.27,-75.14,-116.02,-98.91,-79.23,Inf,-118.44,-105.74,-84.25,-75.14;
-94.18,-98.60,-115.08,-121.99,-78.16,-87.26,-102.73,-118.44,Inf,-82.24,-95.90,-113.01;
-98.60,-94.18,-104.62,-109.06,-87.26,-78.16,-87.26,-102.73,-79.23,Inf,-76.22,-95.90;
-109.06,-98.60,-100.20,-98.60,-102.73,-87.26,-78.16,-87.26,-98.91,-82.24,Inf,-76.22;
-121.99,-109.06,-104.62,-94.18,-118.44,-102.73,-87.26,-78.16,-116.02,-101.93,-76.22,Inf
