Inf,-79.23,-98.91,-116.02,-81.17,-87.26,-102.73,-118.44,-97.19,-101.61,-112.07,-128.01;
-79.23,Inf,-79.23,-98.91,-90.27,-78.16,-87.26,-102.73,-101.61,-97.19,-101.61,-115.08;
-98.91,-79.23,Inf,-79.23,-105.74,-87.26,-78.16,-87.26,-112.07,-101.61,-97.19,-104.62;
-116.02,-98.91,-79.23,Inf,-121.45,-102.73,-87.26,-78.16,-125.00,-112.07,-101.61,-100.20;
-78.16,-87.26,-102.73,-118.44,Inf,-79.23,-98.91,-116.02,-78.16,-87.26,-102.73,-121.45;
-87.26,-78.16,-87.26,-102.73,-82.24,Inf,-79.23,-98.91,-87.26,-78.16,-87.26,-105.74;
-102.73,-87.26,-78.16,-87.26,-101.93,-79.23,Inf,-79.23,-102.73,-87.26,-78.16,-90.27;
-118.44,-102.73,-87.26,-78.16,-119.03,-98.91,-79.23,Inf,-118.44,-102.73,-87.26,-81.17;
-97.19,-101.61,-112.07,-125.00,-81.17,-87.26,-102.73,-118.44,Inf,-79.23,-98.91,-119.03;
-101.61,-97.19,-101.61,-112.07,-90.27,-78.16,-87.26,-102.73,-79.23,Inf,-79.23,-101.93;
-112.07,-101.61,-97.19,-101.61,-105.74,-87.26,-78.16,-87.26,-98.91,-79.23,Inf,-82.24;
-125.00,-112.07,-101.61,-97.19,-121.45,-102.73,-87.26,-78.16,-116.02,-98.91,-79.23,Inf
