Inf,-85.36,-100.95,-122.99,-85.36,-88.83,-108.60,-122.95,-106.97,-111.61,-119.82,-136.98;
-82.35,Inf,-79.34,-103.96,-94.85,-79.34,-91.84,-105.59,-111.61,-106.97,-108.60,-122.83;
-103.96,-85.36,Inf,-82.35,-111.61,-88.83,-82.35,-88.83,-122.83,-111.61,-103.96,-111.61;
-122.99,-106.97,-79.34,Inf,-128.97,-105.59,-91.84,-79.34,-136.98,-122.83,-108.60,-106.97;
-82.35,-94.85,-105.59,-125.96,Inf,-79.34,-103.96,-119.98,-85.36,-94.85,-108.60,-128.97;
-91.84,-85.36,-88.83,-108.60,-85.36,Inf,-82.35,-100.95,-94.85,-85.36,-91.84,-111.61;
-108.60,-94.85,-79.34,-91.84,-106.97,-79.34,Inf,-79.34,-111.61,-94.85,-82.35,-94.85;
-125.96,-111.61,-88.83,-82.35,-126.00,-100.95,-82.35,Inf,-128.97,-111.61,-91.84,-85.36;
-103.96,-111.61,-116.81,-133.97,-85.36,-88.83,-108.60,-122.95,Inf,-85.36,-103.96,-126.00;
-108.60,-106.97,-105.59,-119.82,-94.85,-79.34,-91.84,-105.59,-85.36,Inf,-82.35,-106.97;
-119.82,-111.61,-100.95,-108.60,-111.61,-88.83,-82.35,-88.83,-106.97,-85.36,Inf,-85.36;
-133.97,-122.83,-105.59,-103.96,-128.97,-105.59,-91.84,-79.34,-126.00,-106.97,-82.35,Inf
