Inf,-85.36,-106.97,-122.99,-79.34,-88.83,-111.61,-122.95,-100.95,-105.59,-122.83,-130.96;
-82.35,Inf,-85.36,-103.96,-88.83,-79.34,-94.85,-105.59,-105.59,-100.95,-111.61,-116.81;
-103.96,-85.36,Inf,-82.35,-105.59,-88.83,-85.36,-88.83,-116.81,-105.59,-106.97,-105.59;
-122.99,-106.97,-85.36,Inf,-122.95,-105.59,-94.85,-79.34,-130.96,-116.81,-111.61,-100.95;
-82.35,-94.85,-111.61,-125.96,Inf,-79.34,-106.97,-119.98,-79.34,-88.83,-111.61,-122.95;
-91.84,-85.36,-94.85,-108.60,-79.34,Inf,-85.36,-100.95,-88.83,-79.34,-94.85,-105.59;
-108.60,-94.85,-85.36,-91.84,-100.95,-79.34,Inf,-79.34,-105.59,-88.83,-85.36,-88.83;
-125.96,-111.61,-94.85,-82.35,-119.98,-100.95,-85.36,Inf,-122.95,-105.59,-94.85,-79.34;
-103.96,-111.61,-122.83,-133.97,-79.34,-88.83,-111.61,-122.95,Inf,-79.34,-106.97,-119.98;
-108.60,-106.97,-111.61,-119.82,-88.83,-79.34,-94.85,-105.59,-79.34,Inf,-85.36,-100.95;
-119.82,-111.61,-106.97,-108.60,-105.59,-88.83,-85.36,-88.83,-100.95,-79.34,Inf,-79.34;
-133.97,-122.83,-111.61,-103.96,-122.95,-105.59,-94.85,-79.34,-119.98,-100.95,-85.36,Inf
